t,x(t),v(t),F(t) (added)
0.02,0.58,0,-58
0.04,0.579768,-0.0116,-57.9768
0.06,0.5793041,-0.02319536,-57.93041
0.08,0.5786085,-0.03478144,-57.86084
0.09999999,0.5776814,-0.04635361,-57.76814
0.12,0.5765232,-0.05790723,-57.65232
0.14,0.5751345,-0.0694377,-57.51345
0.16,0.5735157,-0.08094039,-57.35157
0.18,0.5716675,-0.0924107,-57.16675
0.2,0.5695906,-0.103844,-56.95906
0.22,0.5672859,-0.1152359,-56.72859
0.24,0.5647542,-0.1265816,-56.47543
0.26,0.5619967,-0.1378767,-56.19967
0.28,0.5590144,-0.1491166,-55.90144
0.3,0.5558084,-0.1602969,-55.58084
0.32,0.5523801,-0.171413,-55.23801
0.34,0.5487309,-0.1824606,-54.87309
0.36,0.5448622,-0.1934353,-54.48622
0.38,0.5407755,-0.2043325,-54.07755
0.4,0.5364726,-0.215148,-53.64725
0.42,0.531955,-0.2258775,-53.1955
0.4400001,0.5272247,-0.2365166,-52.72247
0.4600001,0.5222834,-0.2470611,-52.22834
0.4800001,0.5171333,-0.2575067,-51.71333
0.5000001,0.5117763,-0.2678494,-51.17763
0.52,0.5062146,-0.2780849,-50.62146
0.54,0.5004504,-0.2882092,-50.04504
0.56,0.4944861,-0.2982182,-49.4486
0.58,0.4883239,-0.3081079,-48.83239
0.6,0.4819664,-0.3178744,-48.19664
0.6199999,0.4754161,-0.3275138,-47.54161
0.6399999,0.4686757,-0.3370221,-46.86757
0.6599999,0.4617478,-0.3463956,-46.17478
0.6799999,0.4546351,-0.3556305,-45.46352
0.6999999,0.4473407,-0.3647232,-44.73407
0.7199998,0.4398673,-0.37367,-43.98672
0.7399998,0.4322179,-0.3824674,-43.22179
0.7599998,0.4243957,-0.3911117,-42.43956
0.7799998,0.4164037,-0.3995996,-41.64037
0.7999998,0.4082451,-0.4079277,-40.82451
0.8199998,0.3999232,-0.4160926,-39.99232
0.8399997,0.3914414,-0.4240911,-39.14414
0.8599997,0.382803,-0.4319199,-38.2803
0.8799997,0.3740115,-0.439576,-37.40115
0.8999997,0.3650704,-0.4470562,-36.50704
0.9199997,0.3559832,-0.4543577,-35.59832
0.9399996,0.3467537,-0.4614773,-34.67537
0.9599996,0.3373854,-0.4684124,-33.73854
0.9799996,0.3278822,-0.4751601,-32.78822
0.9999996,0.3182479,-0.4817177,-31.82479
1.02,0.3084862,-0.4880827,-30.84862
1.04,0.2986012,-0.4942524,-29.86012
1.06,0.2885967,-0.5002245,-28.85967
1.08,0.2784768,-0.5059964,-27.84768
1.1,0.2682455,-0.5115659,-26.82455
1.12,0.2579069,-0.5169308,-25.79069
1.14,0.2474651,-0.5220889,-24.74651
1.159999,0.2369243,-0.5270382,-23.69243
1.179999,0.2262888,-0.5317767,-22.62888
1.199999,0.2155627,-0.5363025,-21.55627
1.219999,0.2047504,-0.5406138,-20.47504
1.239999,0.1938563,-0.5447088,-19.38563
1.259999,0.1828845,-0.5485859,-18.28845
1.279999,0.1718397,-0.5522436,-17.18397
1.299999,0.1607261,-0.5556804,-16.07261
1.319999,0.1495482,-0.5588949,-14.95482
1.339999,0.1383104,-0.5618859,-13.83105
1.359999,0.1270174,-0.5646521,-12.70174
1.379999,0.1156736,-0.5671924,-11.56736
1.399999,0.1042834,-0.5695059,-10.42834
1.419999,0.09285161,-0.5715916,-9.285161
1.439999,0.08138263,-0.5734487,-8.138264
1.459999,0.0698811,-0.5750763,-6.988111
1.479999,0.05835163,-0.5764739,-5.835163
1.499999,0.04679881,-0.577641,-4.679881
1.519999,0.03522727,-0.5785769,-3.522727
1.539999,0.02364164,-0.5792814,-2.364164
1.559999,0.01204656,-0.5797543,-1.204656
1.579999,0.0004466549,-0.5799952,-0.04466549
1.599999,-0.01115343,-0.5800042,1.115343
1.619999,-0.02274905,-0.5797811,2.274905
1.639999,-0.03433557,-0.5793262,3.433557
1.659999,-0.04590836,-0.5786394,4.590836
1.679999,-0.05746279,-0.5777213,5.746279
1.699999,-0.06899423,-0.5765721,6.899423
1.719999,-0.08049808,-0.5751922,8.049808
1.739999,-0.09196972,-0.5735822,9.196972
1.759999,-0.1034046,-0.5717428,10.34046
1.779999,-0.1147981,-0.5696747,11.47981
1.799999,-0.1261456,-0.5673787,12.61456
1.819999,-0.1374428,-0.5648558,13.74428
1.839999,-0.1486849,-0.562107,14.86849
1.859999,-0.1598676,-0.5591333,15.98676
1.879999,-0.1709863,-0.5559359,17.09863
1.899999,-0.1820366,-0.5525162,18.20366
1.919999,-0.1930141,-0.5488755,19.30141
1.939999,-0.2039144,-0.5450152,20.39144
1.959999,-0.2147332,-0.5409369,21.47332
1.979999,-0.225466,-0.5366423,22.5466
1.999999,-0.2361087,-0.532133,23.61087
2.019999,-0.2466569,-0.5274108,24.66569
2.039999,-0.2571065,-0.5224777,25.71065
2.059999,-0.2674532,-0.5173355,26.74532
2.079999,-0.2776929,-0.5119865,27.76929
2.099999,-0.2878215,-0.5064327,28.78215
2.119999,-0.2978351,-0.5006762,29.7835
2.139999,-0.3077295,-0.4947195,30.77295
2.159999,-0.3175007,-0.4885649,31.75007
2.179999,-0.327145,-0.4822149,32.7145
2.199999,-0.3366585,-0.475672,33.66585
2.219999,-0.3460373,-0.4689388,34.60373
2.239999,-0.3552776,-0.4620181,35.52776
2.259999,-0.3643759,-0.4549125,36.43759
2.279999,-0.3733284,-0.447625,37.33284
2.299999,-0.3821315,-0.4401584,38.21315
2.319999,-0.3907818,-0.4325158,39.07819
2.339998,-0.3992758,-0.4247002,39.92759
2.359998,-0.4076101,-0.4167147,40.76101
2.379998,-0.4157814,-0.4085625,41.57814
2.399998,-0.4237863,-0.4002469,42.37863
2.419998,-0.4316217,-0.3917711,43.16217
2.439998,-0.4392845,-0.3831387,43.92845
2.459998,-0.4467716,-0.374353,44.67715
2.479998,-0.4540799,-0.3654176,45.40799
2.499998,-0.4612066,-0.356336,46.12066
2.519998,-0.4681489,-0.3471119,46.81489
2.539998,-0.4749039,-0.3377489,47.49039
2.559998,-0.4814689,-0.3282508,48.14688
2.579998,-0.4878413,-0.3186215,48.78413
2.599998,-0.4940186,-0.3088646,49.40186
2.619998,-0.4999983,-0.2989843,49.99983
2.639998,-0.505778,-0.2889843,50.5778
2.659998,-0.5113553,-0.2788687,51.13553
2.679998,-0.5167282,-0.2686416,51.67282
2.699998,-0.5218943,-0.2583071,52.18943
2.719998,-0.5268517,-0.2478692,52.68517
2.739998,-0.5315983,-0.2373322,53.15983
2.759998,-0.5361323,-0.2267002,53.61323
2.779998,-0.5404518,-0.2159775,54.04518
2.799998,-0.5445552,-0.2051685,54.45552
2.819998,-0.5484408,-0.1942774,54.84407
2.839998,-0.5521069,-0.1833086,55.21069
2.859998,-0.5555522,-0.1722664,55.55523
2.879998,-0.5587754,-0.1611554,55.87754
2.899998,-0.561775,-0.1499799,56.1775
2.919998,-0.5645499,-0.1387444,56.45499
2.939998,-0.5670989,-0.1274534,56.70989
2.959998,-0.5694212,-0.1161114,56.94212
2.979998,-0.5715156,-0.104723,57.15156
2.999998,-0.5733815,-0.09329267,57.33815
3.019998,-0.575018,-0.08182504,57.5018
3.039998,-0.5764245,-0.07032468,57.64245
3.059998,-0.5776004,-0.05879619,57.76004
3.079998,-0.5785453,-0.04724418,57.85453
3.099998,-0.5792588,-0.03567328,57.92588
3.119998,-0.5797406,-0.0240881,57.97406
3.139998,-0.5799904,-0.01249329,57.99905
3.159998,-0.5800083,-0.0008934795,58.00083
3.179998,-0.5797942,0.01070669,57.97942
3.199998,-0.5793481,0.02230257,57.93481
3.219998,-0.5786703,0.03388953,57.86703
3.239998,-0.5777611,0.04546294,57.7761
3.259998,-0.5766207,0.05701816,57.66207
3.279998,-0.5752497,0.06855057,57.52497
3.299998,-0.5736486,0.08005556,57.36486
3.319998,-0.571818,0.09152853,57.1818
3.339998,-0.5697587,0.1029649,56.97587
3.359998,-0.5674715,0.1143601,56.74715
3.379997,-0.5649573,0.1257095,56.49573
3.399997,-0.5622172,0.1370086,56.22172
3.419997,-0.5592521,0.148253,55.92521
3.439997,-0.5560634,0.159438,55.60633
3.459997,-0.5526522,0.1705593,55.26522
3.479997,-0.5490199,0.1816123,54.90199
3.499997,-0.5451681,0.1925927,54.51681
3.519997,-0.5410982,0.2034961,54.10982
3.539997,-0.5368118,0.2143181,53.68118
3.559997,-0.5323107,0.2250543,53.23107
3.579997,-0.5275967,0.2357005,52.75967
3.599997,-0.5226716,0.2462524,52.26716
3.619997,-0.5175375,0.2567059,51.75375
3.639997,-0.5121964,0.2670566,51.21964
3.659997,-0.5066504,0.2773006,50.66504
3.679997,-0.5009017,0.2874336,50.09017
3.699997,-0.4949527,0.2974516,49.49527
3.719997,-0.4888057,0.3073506,48.88057
3.739997,-0.4824631,0.3171268,48.24631
3.759997,-0.4759276,0.326776,47.59276
3.779997,-0.4692017,0.3362946,46.92017
3.799997,-0.4622881,0.3456786,46.22881
3.819997,-0.4551896,0.3549244,45.51896
3.839997,-0.4479091,0.3640282,44.79091
3.859997,-0.4404494,0.3729864,44.04494
3.879997,-0.4328134,0.3817954,43.28135
3.899997,-0.4250044,0.3904516,42.50044
3.919997,-0.4170254,0.3989517,41.70254
3.939997,-0.4088795,0.4072922,40.88795
3.959997,-0.4005701,0.4154698,40.05701
3.979997,-0.3921005,0.4234812,39.21005
3.999997,-0.3834741,0.4313232,38.3474
4.019997,-0.3746942,0.4389927,37.46942
4.039997,-0.3657645,0.4464866,36.57645
4.059997,-0.3566884,0.4538019,35.66884
4.079997,-0.3474697,0.4609357,34.74697
4.099997,-0.338112,0.467885,33.8112
4.119997,-0.3286191,0.4746473,32.86191
4.139997,-0.3189947,0.4812197,31.89947
4.159997,-0.3092427,0.4875996,30.92427
4.179997,-0.299367,0.4937844,29.9367
4.199997,-0.2893716,0.4997718,28.93716
4.219997,-0.2792604,0.5055592,27.92604
4.239997,-0.2690375,0.5111444,26.90375
4.259997,-0.258707,0.5165251,25.8707
4.279997,-0.248273,0.5216993,24.8273
4.299997,-0.2377397,0.5266648,23.77397
4.319997,-0.2271114,0.5314196,22.71114
4.339997,-0.2163921,0.5359618,21.63921
4.359997,-0.2055863,0.5402896,20.55863
4.379997,-0.1946983,0.5444013,19.46983
4.399997,-0.1837324,0.5482953,18.37324
4.419997,-0.172693,0.5519699,17.2693
4.439997,-0.1615845,0.5554238,16.15845
4.459997,-0.1504114,0.5586555,15.04114
4.479997,-0.1391781,0.5616637,13.91781
4.499997,-0.1278892,0.5644473,12.78892
4.519997,-0.1165491,0.567005,11.65491
4.539997,-0.1051624,0.569336,10.51624
4.559997,-0.09373358,0.5714393,9.373358
4.579997,-0.0822673,0.573314,8.22673
4.599997,-0.07076812,0.5749593,7.076812
4.619997,-0.05924062,0.5763747,5.924062
4.639997,-0.04768943,0.5775595,4.768943
4.659997,-0.03611917,0.5785133,3.611917
4.679996,-0.02453446,0.5792357,2.453446
4.699996,-0.01293993,0.5797263,1.293993
4.719996,-0.001340227,0.5799851,0.1340227
4.739996,0.01026001,0.580012,-1.026001
4.759996,0.02185615,0.5798067,-2.185615
4.779996,0.03344354,0.5793696,-3.344354
4.799996,0.04501756,0.5787007,-4.501756
4.819996,0.05657356,0.5778004,-5.657356
4.839996,0.06810694,0.5766689,-6.810694
4.859996,0.07961307,0.5753068,-7.961308
4.879996,0.09108736,0.5737145,-9.108736
4.899996,0.1025252,0.5718927,-10.25252
4.919996,0.1139221,0.5698422,-11.39221
4.939996,0.1252733,0.5675638,-12.52733
4.959996,0.1365745,0.5650583,-13.65745
4.979996,0.147821,0.5623268,-14.7821
4.999996,0.1590084,0.5593703,-15.90084
5.019996,0.1701322,0.5561902,-17.01322
5.039996,0.181188,0.5527875,-18.1188
5.059996,0.1921713,0.5491638,-19.21713
5.079996,0.2030777,0.5453203,-20.30777
5.099996,0.2139028,0.5412588,-21.39029
5.119996,0.2246425,0.5369807,-22.46424
5.139996,0.2352922,0.5324879,-23.52922
5.159996,0.2458479,0.527782,-24.58479
5.179996,0.2563052,0.5228651,-25.63052
5.199996,0.2666599,0.5177389,-26.66599
5.219996,0.2769081,0.5124058,-27.69081
5.239996,0.2870454,0.5068676,-28.70454
5.259996,0.2970679,0.5011267,-29.70679
5.279996,0.3069716,0.4951853,-30.69716
5.299996,0.3167526,0.4890459,-31.67525
5.319996,0.3264068,0.4827109,-32.64068
5.339996,0.3359304,0.4761827,-33.59304
5.359996,0.3453197,0.4694641,-34.53197
5.379996,0.3545709,0.4625577,-35.45708
5.399996,0.3636802,0.4554663,-36.36802
5.419996,0.372644,0.4481927,-37.2644
5.439996,0.3814588,0.4407398,-38.14588
5.459996,0.390121,0.4331107,-39.0121
5.479996,0.3986272,0.4253082,-39.86272
5.499996,0.4069739,0.4173357,-40.69739
5.519996,0.4151579,0.4091962,-41.51579
5.539996,0.4231757,0.400893,-42.31757
5.559996,0.4310243,0.3924295,-43.10243
5.579996,0.4387005,0.383809,-43.87005
5.599996,0.4462012,0.375035,-44.62012
5.619996,0.4535234,0.366111,-45.35234
5.639996,0.4606642,0.3570405,-46.06643
5.659996,0.4676208,0.3478272,-46.76208
5.679996,0.4743903,0.3384748,-47.43903
5.699996,0.48097,0.328987,-48.097
5.719995,0.4873574,0.3193676,-48.73574
5.739995,0.4935498,0.3096204,-49.35498
5.759995,0.4995448,0.2997494,-49.95448
5.779995,0.5053399,0.2897585,-50.53399
5.799995,0.510933,0.2796517,-51.0933
5.819995,0.5163217,0.2694331,-51.63216
5.839995,0.5215038,0.2591066,-52.15038
5.859995,0.5264773,0.2486766,-52.64774
5.879995,0.5312403,0.238147,-53.12403
5.899995,0.5357907,0.2275222,-53.57907
5.919995,0.5401269,0.2168064,-54.01269
5.939995,0.5442469,0.2060038,-54.42469
5.959995,0.5481493,0.1951189,-54.81493
5.979995,0.5518324,0.1841559,-55.18324
5.999995,0.5552948,0.1731193,-55.52948
6.019995,0.558535,0.1620134,-55.8535
6.039995,0.5615519,0.1508427,-56.15519
6.059995,0.5643441,0.1396116,-56.43441
6.079995,0.5669106,0.1283247,-56.69106
6.099995,0.5692503,0.1169865,-56.92503
6.119995,0.5713624,0.1056015,-57.13624
6.139995,0.5732459,0.09417428,-57.32459
6.159995,0.5749001,0.08270936,-57.49001
6.179995,0.5763243,0.07121136,-57.63243
6.199995,0.577518,0.05968487,-57.7518
6.219995,0.5784807,0.04813451,-57.84807
6.239995,0.579212,0.0365649,-57.9212
6.259995,0.5797116,0.02498065,-57.97116
6.279995,0.5799794,0.01338642,-57.99794
6.299995,0.5800151,0.001786833,-58.00151
6.319995,0.5798188,-0.00981347,-57.98188
6.339995,0.5793906,-0.02140985,-57.93906
6.359995,0.5787307,-0.03299766,-57.87307
6.379995,0.5778393,-0.04457228,-57.78392
6.399995,0.5767167,-0.05612906,-57.67167
6.419995,0.5753634,-0.06766339,-57.53634
6.439995,0.57378,-0.07917066,-57.378
6.459995,0.5719671,-0.09064626,-57.1967
6.479995,0.5699254,-0.1020856,-56.99254
6.499995,0.5676557,-0.1134841,-56.76557
6.519995,0.565159,-0.1248372,-56.5159
6.539995,0.5624362,-0.1361404,-56.24362
6.559995,0.5594884,-0.1473891,-55.94884
6.579995,0.5563168,-0.1585789,-55.63168
6.599995,0.5529227,-0.1697052,-55.29227
6.619995,0.5493074,-0.1807637,-54.93074
6.639995,0.5454724,-0.1917498,-54.54724
6.659995,0.5414192,-0.2026593,-54.14192
6.679995,0.5371494,-0.2134877,-53.71494
6.699995,0.5326648,-0.2242307,-53.26648
6.719995,0.5279672,-0.234884,-52.79671
6.739995,0.5230583,-0.2454433,-52.30583
6.759995,0.5179402,-0.2559045,-51.79402
6.779994,0.512615,-0.2662633,-51.2615
6.799994,0.5070847,-0.2765156,-50.70847
6.819994,0.5013515,-0.2866573,-50.13515
6.839994,0.4954179,-0.2966843,-49.54179
6.859994,0.489286,-0.3065926,-48.9286
6.879994,0.4829584,-0.3163784,-48.29585
6.899994,0.4764377,-0.3260375,-47.64377
6.919994,0.4697264,-0.3355663,-46.97264
6.939994,0.4628271,-0.3449608,-46.28271
6.959994,0.4557428,-0.3542174,-45.57428
6.979994,0.4484762,-0.3633322,-44.84762
6.999994,0.4410301,-0.3723017,-44.10302
7.019994,0.4334077,-0.3811223,-43.34077
7.039994,0.4256119,-0.3897905,-42.56119
7.059994,0.4176458,-0.3983027,-41.76458
7.079994,0.4095127,-0.4066556,-40.95127
7.099994,0.4012158,-0.4148459,-40.12158
7.119994,0.3927584,-0.4228702,-39.27584
7.139994,0.3841439,-0.4307253,-38.41439
7.159994,0.3753757,-0.4384082,-37.53757
7.179994,0.3664574,-0.4459157,-36.64574
7.199994,0.3573925,-0.4532449,-35.73925
7.219994,0.3481847,-0.4603927,-34.81847
7.239994,0.3388376,-0.4673564,-33.88375
7.259994,0.3293549,-0.4741332,-32.93549
7.279994,0.3197405,-0.4807203,-31.97405
7.299994,0.3099982,-0.4871151,-30.99982
7.319994,0.3001319,-0.493315,-30.01319
7.339994,0.2901456,-0.4993176,-29.01456
7.359994,0.2800432,-0.5051206,-28.00432
7.379994,0.2698287,-0.5107214,-26.98287
7.399994,0.2595064,-0.516118,-25.95064
7.419994,0.2490802,-0.5213082,-24.90802
7.439994,0.2385544,-0.5262898,-23.85544
7.459994,0.2279332,-0.5310609,-22.79332
7.479994,0.2172208,-0.5356196,-21.72208
7.499994,0.2064215,-0.539964,-20.64215
7.519994,0.1955397,-0.5440924,-19.55397
7.539994,0.1845796,-0.5480032,-18.45796
7.559994,0.1735457,-0.5516948,-17.35457
7.579994,0.1624424,-0.5551657,-16.24424
7.599994,0.1512741,-0.5584146,-15.12741
7.619994,0.1400453,-0.5614401,-14.00453
7.639994,0.1287605,-0.5642409,-12.87605
7.659994,0.1174242,-0.5668162,-11.74242
7.679994,0.1060409,-0.5691646,-10.60409
7.699994,0.0946152,-0.5712854,-9.46152
7.719994,0.08315165,-0.5731778,-8.315165
7.739994,0.07165483,-0.5748408,-7.165483
7.759994,0.06012935,-0.5762739,-6.012935
7.779994,0.04857982,-0.5774764,-4.857982
7.799994,0.03701086,-0.5784481,-3.701086
7.819993,0.0254271,-0.5791883,-2.54271
7.839993,0.01383316,-0.5796968,-1.383316
7.859993,0.00223369,-0.5799735,-0.223369
7.879993,-0.009366674,-0.5800182,0.9366674
7.899993,-0.02096329,-0.5798309,2.096329
7.919993,-0.03255153,-0.5794116,3.255153
7.939993,-0.04412674,-0.5787606,4.412674
7.959993,-0.0556843,-0.5778781,5.56843
7.979993,-0.06721959,-0.5767644,6.721959
7.999993,-0.07872798,-0.57542,7.872798
8.019994,-0.09020489,-0.5738454,9.02049
8.039994,-0.1016457,-0.5720413,10.16457
8.059995,-0.1130459,-0.5700084,11.30459
8.079995,-0.1244008,-0.5677475,12.44008
8.099996,-0.135706,-0.5652595,13.5706
8.119996,-0.1469569,-0.5625454,14.69569
8.139997,-0.1581491,-0.5596062,15.81491
8.159997,-0.1692779,-0.5564432,16.92779
8.179997,-0.1803391,-0.5530577,18.03391
8.199998,-0.1913281,-0.5494509,19.13281
8.219998,-0.2022406,-0.5456243,20.22406
8.239999,-0.2130722,-0.5415795,21.30722
8.259999,-0.2238185,-0.5373181,22.38185
8.28,-0.2344754,-0.5328417,23.44754
8.3,-0.2450384,-0.5281522,24.50384
8.320001,-0.2555034,-0.5232514,25.55034
8.340001,-0.2658663,-0.5181413,26.58663
8.360002,-0.2761227,-0.512824,27.61227
8.380002,-0.2862688,-0.5073016,28.62688
8.400002,-0.2963003,-0.5015762,29.63003
8.420003,-0.3062133,-0.4956502,30.62133
8.440003,-0.3160038,-0.4895259,31.60038
8.460004,-0.3256679,-0.4832058,32.56679
8.480004,-0.3352018,-0.4766925,33.52018
8.500005,-0.3446015,-0.4699884,34.46016
8.520005,-0.3538635,-0.4630964,35.38635
8.540006,-0.3629839,-0.4560191,36.29839
8.560006,-0.371959,-0.4487595,37.1959
8.580007,-0.3807854,-0.4413203,38.07854
8.600007,-0.3894595,-0.4337046,38.94595
8.620008,-0.3979778,-0.4259154,39.79778
8.640008,-0.4063369,-0.4179558,40.63369
8.660008,-0.4145335,-0.4098291,41.45335
8.680009,-0.4225643,-0.4015384,42.25643
8.700009,-0.430426,-0.3930871,43.0426
8.72001,-0.4381156,-0.3844786,43.81156
8.74001,-0.4456299,-0.3757163,44.56299
8.760011,-0.452966,-0.3668037,45.2966
8.780011,-0.4601209,-0.3577444,46.01209
8.800012,-0.4670917,-0.348542,46.70918
8.820012,-0.4738757,-0.3392002,47.38757
8.840013,-0.4804702,-0.3297226,48.04702
8.860013,-0.4868724,-0.3201132,48.68724
8.880013,-0.49308,-0.3103758,49.30799
8.900014,-0.4990903,-0.3005142,49.90903
8.920014,-0.5049009,-0.2905324,50.49009
8.940015,-0.5105096,-0.2804344,51.05096
8.960015,-0.515914,-0.2702242,51.5914
8.980016,-0.5211121,-0.2599059,52.11121
9.000016,-0.5261018,-0.2494837,52.61018
9.020017,-0.530881,-0.2389616,53.0881
9.040017,-0.535448,-0.228344,53.5448
9.060018,-0.5398006,-0.2176351,53.98006
9.080018,-0.5439374,-0.206839,54.39375
9.100019,-0.5478566,-0.1959603,54.78566
9.120019,-0.5515567,-0.1850032,55.15567
9.140019,-0.5550361,-0.173972,55.50361
9.16002,-0.5582936,-0.1628713,55.82936
9.18002,-0.5613277,-0.1517054,56.13277
9.200021,-0.5641373,-0.1404789,56.41373
9.220021,-0.5667212,-0.1291961,56.67212
9.240022,-0.5690784,-0.1178617,56.90784
9.260022,-0.5712081,-0.1064801,57.12081
9.280023,-0.5731091,-0.09505598,57.31091
9.300023,-0.574781,-0.0835938,57.4781
9.320024,-0.576223,-0.07209818,57.6223
9.340024,-0.5774344,-0.06057372,57.74344
9.360024,-0.5784149,-0.04902504,57.84149
9.380025,-0.579164,-0.03745674,57.9164
9.400025,-0.5796815,-0.02587346,57.96815
9.420026,-0.5799671,-0.01427983,57.99672
9.440026,-0.5800207,-0.002680488,58.00207
9.460027,-0.5798423,0.008919926,57.98423
9.480027,-0.579432,0.02051677,57.9432
9.500028,-0.5787899,0.03210541,57.87899
9.520028,-0.5779163,0.0436812,57.79163
9.540029,-0.5768115,0.05523953,57.68115
9.560029,-0.575476,0.06677575,57.5476
9.580029,-0.5739103,0.07828528,57.39103
9.60003,-0.572115,0.08976348,57.2115
9.62003,-0.5700909,0.1012058,57.00909
9.640031,-0.5678387,0.1126076,56.78387
9.660031,-0.5653594,0.1239644,56.53594
9.680032,-0.562654,0.1352716,56.2654
9.700032,-0.5597234,0.1465246,55.97234
9.720033,-0.556569,0.1577191,55.6569
9.740033,-0.553192,0.1688505,55.3192
9.760034,-0.5495937,0.1799143,54.95937
9.780034,-0.5457757,0.1909062,54.57756
9.800035,-0.5417392,0.2018217,54.17392
9.820035,-0.5374861,0.2126565,53.74861
9.840035,-0.5330179,0.2234062,53.30179
9.860036,-0.5283366,0.2340666,52.83366
9.880036,-0.5234439,0.2446333,52.34439
9.900037,-0.5183419,0.2551022,51.83419
9.920037,-0.5130325,0.265469,51.30325
9.940038,-0.5075179,0.2757297,50.75179
9.960038,-0.5018003,0.28588,50.18003
9.980039,-0.495882,0.295916,49.5882
