t,z(t),v(t),F(t) (added)
10.06004,1.524259,-1.085333,-152.4259
10.08004,1.501943,-1.115819,-150.1943
10.10004,1.479025,-1.145857,-147.9025
10.12004,1.455517,-1.175438,-145.5517
10.14004,1.431426,-1.204548,-143.1426
10.16004,1.406762,-1.233177,-140.6762
10.18004,1.381536,-1.261312,-138.1536
10.20004,1.355757,-1.288942,-135.5757
10.22004,1.329436,-1.316058,-132.9436
10.24004,1.302583,-1.342646,-130.2583
10.26005,1.275209,-1.368698,-127.5209
10.28005,1.247325,-1.394202,-124.7325
10.30005,1.218942,-1.419149,-121.8942
10.32005,1.190071,-1.443527,-119.0071
10.34005,1.160725,-1.467329,-116.0725
10.36005,1.130914,-1.490543,-113.0914
10.38005,1.100651,-1.513162,-110.0651
10.40005,1.069947,-1.535175,-106.9947
10.42005,1.038816,-1.556574,-103.8816
10.44005,1.007269,-1.57735,-100.7269
10.46005,0.9753188,-1.597495,-97.53188
10.48005,0.9429787,-1.617002,-94.29787
10.50005,0.9102615,-1.635861,-91.02615
10.52005,0.8771802,-1.654067,-87.71802
10.54005,0.843748,-1.67161,-84.37479
10.56005,0.8099782,-1.688485,-80.99783
10.58005,0.7758846,-1.704685,-77.58846
10.60005,0.7414805,-1.720202,-74.14806
10.62005,0.7067799,-1.735032,-70.67799
10.64005,0.6717966,-1.749168,-67.17966
10.66005,0.6365445,-1.762604,-63.65445
10.68005,0.6010378,-1.775334,-60.10378
10.70006,0.5652907,-1.787355,-56.52907
10.72006,0.5293175,-1.798661,-52.93175
10.74006,0.4931326,-1.809247,-49.31326
10.76006,0.4567504,-1.81911,-45.67504
10.78006,0.4201855,-1.828245,-42.01855
10.80006,0.3834525,-1.836649,-38.34525
10.82006,0.3465661,-1.844318,-34.65661
10.84006,0.3095412,-1.851249,-30.95412
10.86006,0.2723924,-1.85744,-27.23924
10.88006,0.2351346,-1.862888,-23.51346
10.90006,0.1977828,-1.86759,-19.77828
10.92006,0.1603519,-1.871546,-16.03519
10.94006,0.1228568,-1.874753,-12.28568
10.96006,0.08531262,-1.87721,-8.531262
10.98006,0.04773429,-1.878916,-4.773429
11.00006,0.01013688,-1.879871,-1.013688
11.02006,-0.0274646,-1.880074,2.74646
11.04006,-0.06505509,-1.879524,6.505509
11.06006,-0.1026196,-1.878223,10.26196
11.08006,-0.140143,-1.876171,14.0143
11.10006,-0.1776103,-1.873368,17.76103
11.12006,-0.2150066,-1.869816,21.50067
11.14007,-0.252317,-1.865516,25.2317
11.16007,-0.2895263,-1.860469,28.95263
11.18007,-0.3266199,-1.854679,32.66199
11.20007,-0.3635828,-1.848147,36.35828
11.22007,-0.4004003,-1.840875,40.04004
11.24007,-0.4370577,-1.832867,43.70577
11.26007,-0.4735402,-1.824126,47.35402
11.28007,-0.5098333,-1.814655,50.98333
11.30007,-0.5459225,-1.804458,54.59225
11.32007,-0.5817932,-1.79354,58.17933
11.34007,-0.6174313,-1.781904,61.74313
11.36007,-0.6528224,-1.769555,65.28224
11.38007,-0.6879524,-1.756499,68.79524
11.40007,-0.7228072,-1.74274,72.28072
11.42007,-0.7573729,-1.728284,75.73729
11.44007,-0.7916356,-1.713136,79.16356
11.46007,-0.8255817,-1.697304,82.55817
11.48007,-0.8591975,-1.680792,85.91975
11.50007,-0.8924696,-1.663608,89.24696
11.52007,-0.9253848,-1.645759,92.53848
11.54007,-0.9579298,-1.627251,95.79298
11.56007,-0.9900917,-1.608092,99.00917
11.58008,-1.021858,-1.58829,102.1858
11.60008,-1.053215,-1.567853,105.3215
11.62008,-1.08415,-1.546789,108.415
11.64008,-1.114652,-1.525106,111.4652
11.66008,-1.144709,-1.502813,114.4709
11.68008,-1.174307,-1.479919,117.4307
11.70008,-1.203436,-1.456433,120.3436
11.72008,-1.232083,-1.432364,123.2083
11.74008,-1.260237,-1.407722,126.0237
11.76008,-1.287888,-1.382517,128.7888
11.78008,-1.315023,-1.35676,131.5023
11.80008,-1.341632,-1.330459,134.1632
11.82008,-1.367705,-1.303627,136.7705
11.84008,-1.39323,-1.276272,139.323
11.86008,-1.418198,-1.248408,141.8198
11.88008,-1.442599,-1.220044,144.2599
11.90008,-1.466423,-1.191192,146.6423
11.92008,-1.48966,-1.161863,148.966
11.94008,-1.512302,-1.13207,151.2302
11.96008,-1.534338,-1.101824,153.4338
11.98008,-1.555761,-1.071138,155.5761
12.00008,-1.576561,-1.040022,157.6561
12.02009,-1.596731,-1.008491,159.6731
12.04009,-1.616262,-0.9765565,161.6262
12.06009,-1.635147,-0.9442313,163.5147
12.08009,-1.653377,-0.9115283,165.3377
12.10009,-1.670947,-0.8784608,167.0947
12.12009,-1.687847,-0.8450419,168.7847
12.14009,-1.704073,-0.8112849,170.4073
12.16009,-1.719617,-0.7772034,171.9617
12.18009,-1.734473,-0.7428111,173.4473
12.20009,-1.748636,-0.7081216,174.8636
12.22009,-1.762099,-0.6731489,176.2099
12.24009,-1.774857,-0.6379069,177.4857
12.26009,-1.786905,-0.6024098,178.6905
12.28009,-1.798239,-0.5666717,179.8239
12.30009,-1.808853,-0.5307069,180.8853
12.32009,-1.818743,-0.4945298,181.8743
12.34009,-1.827906,-0.458155,182.7906
12.36009,-1.836338,-0.4215969,183.6338
12.38009,-1.844036,-0.3848701,184.4036
12.40009,-1.850996,-0.3479894,185.0995
12.42009,-1.857215,-0.3109695,185.7215
12.44009,-1.862691,-0.2738252,186.2691
12.4601,-1.867423,-0.2365713,186.7423
12.4801,-1.871407,-0.1992229,187.1407
12.5001,-1.874643,-0.1617948,187.4643
12.5201,-1.877129,-0.1243019,187.7129
12.5401,-1.878864,-0.08675931,187.8864
12.5601,-1.879848,-0.04918202,187.9848
12.5801,-1.88008,-0.01158506,188.008
12.6001,-1.879559,0.02601654,187.9559
12.6201,-1.878287,0.06360772,187.8287
12.6401,-1.876264,0.1011735,187.6264
12.6601,-1.87349,0.1386987,187.349
12.6801,-1.869966,0.1761685,186.9966
12.7001,-1.865695,0.2135678,186.5695
12.7201,-1.860677,0.2508817,186.0677
12.7401,-1.854915,0.2880953,185.4915
12.7601,-1.848412,0.3251936,184.8412
12.7801,-1.841168,0.3621618,184.1168
12.8001,-1.833189,0.3989852,183.3189
12.8201,-1.824476,0.4356489,182.4476
12.8401,-1.815033,0.4721385,181.5033
12.8601,-1.804864,0.5084391,180.4864
12.88011,-1.793973,0.5445364,179.3973
12.90011,-1.782365,0.5804159,178.2365
12.92011,-1.770044,0.6160632,177.0044
12.94011,-1.757014,0.651464,175.7014
12.96011,-1.743282,0.6866043,174.3282
12.98011,-1.728853,0.7214699,172.8853
13.00011,-1.713732,0.756047,171.3732
13.02011,-1.697925,0.7903216,169.7925
13.04011,-1.68144,0.8242801,168.144
13.06011,-1.664282,0.857909,166.4282
13.08011,-1.646458,0.8911946,164.6458
13.10011,-1.627975,0.9241238,162.7975
13.12011,-1.608842,0.9566833,160.8842
13.14011,-1.589064,0.9888601,158.9064
13.16011,-1.568652,1.020641,156.8652
13.18011,-1.547611,1.052014,154.7611
13.20011,-1.525952,1.082967,152.5952
13.22011,-1.503682,1.113486,150.3682
13.24011,-1.480811,1.143559,148.0811
13.26011,-1.457348,1.173176,145.7348
13.28011,-1.433301,1.202322,143.3301
13.30011,-1.408681,1.230989,140.8681
13.32012,-1.383498,1.259162,138.3498
13.34012,-1.357762,1.286832,135.7762
13.36012,-1.331482,1.313987,133.1482
13.38012,-1.304669,1.340617,130.4669
13.40012,-1.277335,1.36671,127.7335
13.42012,-1.24949,1.392257,124.949
13.44012,-1.221145,1.417247,122.1145
13.46012,-1.192312,1.44167,119.2312
13.48012,-1.163001,1.465516,116.3001
13.50012,-1.133226,1.488776,113.3226
13.52012,-1.102997,1.511441,110.2997
13.54012,-1.072327,1.533501,107.2327
13.56012,-1.041228,1.554947,104.1228
13.58012,-1.009712,1.575772,100.9712
13.60012,-0.9777932,1.595966,97.77931
13.62012,-0.9454827,1.615522,94.54827
13.64012,-0.9127941,1.634431,91.27941
13.66012,-0.8797404,1.652687,87.97404
13.68012,-0.8463347,1.670282,84.63347
13.70012,-0.8125905,1.687209,81.25906
13.72012,-0.7785213,1.703461,77.85213
13.74012,-0.7441407,1.719031,74.41407
13.76013,-0.7094624,1.733914,70.94624
13.78013,-0.6745003,1.748103,67.45004
13.80013,-0.6392685,1.761593,63.92685
13.82013,-0.6037809,1.774378,60.37809
13.84013,-0.5680519,1.786454,56.80519
13.86013,-0.5320956,1.797815,53.20956
13.88013,-0.4959264,1.808457,49.59264
13.90013,-0.4595589,1.818375,45.95589
13.92013,-0.4230076,1.827567,42.30076
13.94013,-0.386287,1.836027,38.6287
13.96013,-0.349412,1.843753,34.9412
13.98013,-0.3123972,1.850741,31.23972
14.00013,-0.2752574,1.856989,27.52574
14.02013,-0.2380075,1.862494,23.80075
14.04013,-0.2006624,1.867254,20.06624
14.06013,-0.1632371,1.871267,16.32371
14.08013,-0.1257465,1.874532,12.57465
14.10013,-0.08820552,1.877047,8.820552
14.12013,-0.05062929,1.878811,5.062929
14.14013,-0.01303282,1.879824,1.303282
14.16013,0.02456887,1.880085,-2.456887
14.18013,0.06216074,1.879593,-6.216074
14.20014,0.09972773,1.87835,-9.972774
14.22014,0.1372548,1.876355,-13.72548
14.24014,0.174727,1.87361,-17.4727
14.26014,0.2121294,1.870116,-21.21294
14.28014,0.2494468,1.865873,-24.94468
14.30014,0.2866645,1.860884,-28.66645
14.32014,0.3237675,1.855151,-32.37675
14.34014,0.360741,1.848676,-36.0741
14.36014,0.3975702,1.841461,-39.75702
14.38014,0.4342404,1.833509,-43.42404
14.40014,0.4707369,1.824825,-47.07369
14.42014,0.5070451,1.81541,-50.70451
14.44014,0.5431505,1.805269,-54.31505
14.46014,0.5790386,1.794406,-57.90386
14.48014,0.6146951,1.782825,-61.46951
14.50014,0.6501058,1.770531,-65.01057
14.52014,0.6852564,1.757529,-68.52563
14.54014,0.7201328,1.743824,-72.01328
14.56014,0.7547212,1.729421,-75.47212
14.58014,0.7890078,1.714327,-78.90078
14.60014,0.8229787,1.698547,-82.29787
14.62014,0.8566205,1.682087,-85.66205
14.64015,0.8899196,1.664955,-88.99196
14.66015,0.9228627,1.647156,-92.28627
14.68015,0.9554367,1.628699,-95.54367
14.70015,0.9876285,1.60959,-98.76286
14.72015,1.019425,1.589838,-101.9425
14.74015,1.050814,1.569449,-105.0814
14.76015,1.081783,1.548433,-108.1783
14.78015,1.112319,1.526797,-111.2319
14.80015,1.14241,1.504551,-114.241
14.82015,1.172044,1.481703,-117.2044
14.84015,1.201209,1.458262,-120.1209
14.86015,1.229894,1.434238,-122.9894
14.88015,1.258087,1.40964,-125.8087
14.90015,1.285776,1.384478,-128.5776
14.92015,1.312952,1.358763,-131.2952
14.94015,1.339602,1.332503,-133.9602
14.96015,1.365716,1.305711,-136.5716
14.98015,1.391284,1.278397,-139.1284
15.00015,1.416295,1.250571,-141.6295
15.02015,1.44074,1.222245,-144.074
15.04015,1.464609,1.193431,-146.4609
15.06015,1.487891,1.164138,-148.7891
15.08016,1.510579,1.134381,-151.0579
15.10016,1.532662,1.104169,-153.2662
15.12016,1.554133,1.073516,-155.4133
15.14016,1.574981,1.042433,-157.4981
15.16016,1.5952,1.010934,-159.52
15.18016,1.614781,0.9790295,-161.4781
15.20016,1.633715,0.946734,-163.3715
15.22016,1.651997,0.9140596,-165.1997
15.24016,1.669617,0.8810197,-166.9617
15.26016,1.68657,0.8476274,-168.657
15.28016,1.702847,0.813896,-170.2847
15.30016,1.718444,0.779839,-171.8444
15.32016,1.733354,0.7454702,-173.3354
15.34016,1.74757,0.7108031,-174.757
15.36016,1.761087,0.6758517,-176.1087
15.38016,1.773899,0.6406299,-177.3899
15.40016,1.786002,0.605152,-178.6002
15.42016,1.797391,0.5694319,-179.7391
15.44016,1.808061,0.5334841,-180.8061
15.46016,1.818007,0.4973229,-181.8007
15.48016,1.827227,0.4609627,-182.7227
15.50016,1.835715,0.4244182,-183.5715
15.52017,1.843469,0.3877039,-184.3469
15.54017,1.850486,0.3508345,-185.0486
15.56017,1.856762,0.3138248,-185.6762
15.58017,1.862296,0.2766896,-186.2296
15.60017,1.867085,0.2394437,-186.7085
15.62017,1.871127,0.202102,-187.1127
15.64017,1.874421,0.1646794,-187.442
15.66017,1.876964,0.127191,-187.6964
15.68017,1.878757,0.08965175,-187.8757
15.70017,1.879799,0.0520766,-187.9799
15.72017,1.880088,0.01448063,-188.0089
15.74017,1.879626,-0.02312114,-187.9626
15.76017,1.878412,-0.06071366,-187.8412
15.78017,1.876446,-0.09828189,-187.6446
15.80017,1.87373,-0.1358108,-187.373
15.82017,1.870264,-0.1732854,-187.0264
15.84017,1.86605,-0.2106907,-186.605
15.86017,1.86109,-0.2480117,-186.109
15.88017,1.855386,-0.2852335,-185.5386
15.90017,1.848939,-0.3223412,-184.8939
15.92017,1.841752,-0.35932,-184.1752
15.94018,1.833829,-0.396155,-183.3829
15.96018,1.825173,-0.4328316,-182.5173
15.98018,1.815786,-0.4693351,-181.5786
16.00018,1.805673,-0.5056508,-180.5673
16.02018,1.794838,-0.5417643,-179.4838
16.04018,1.783285,-0.577661,-178.3285
16.06018,1.771018,-0.6133267,-177.1018
16.08018,1.758043,-0.6487471,-175.8043
16.10018,1.744365,-0.6839079,-174.4365
16.12018,1.729989,-0.7187952,-172.9989
16.14018,1.714921,-0.753395,-171.4921
16.16018,1.699167,-0.7876934,-169.9167
16.18018,1.682734,-0.8216768,-168.2734
16.20018,1.665627,-0.8553315,-166.5627
16.22018,1.647854,-0.888644,-164.7854
16.24018,1.629422,-0.9216011,-162.9422
16.26018,1.610338,-0.9541895,-161.0338
16.28018,1.59061,-0.9863963,-159.061
16.30018,1.570246,-1.018209,-157.0246
16.32018,1.549254,-1.049613,-154.9254
16.34018,1.527642,-1.080599,-152.7642
16.36018,1.505419,-1.111151,-150.5419
16.38018,1.482594,-1.14126,-148.2594
16.40018,1.459176,-1.170912,-145.9176
16.42019,1.435174,-1.200095,-143.5174
16.44019,1.410598,-1.228799,-141.0598
16.46019,1.385458,-1.257011,-138.5457
16.48019,1.359763,-1.28472,-135.9763
16.50019,1.333525,-1.311915,-133.3525
16.52019,1.306753,-1.338585,-130.6753
16.54019,1.279459,-1.36472,-127.9459
16.56019,1.251653,-1.39031,-125.1653
16.58019,1.223346,-1.415343,-122.3346
16.60019,1.19455,-1.43981,-119.455
16.62019,1.165276,-1.463701,-116.5276
16.64019,1.135535,-1.487006,-113.5536
16.66019,1.105341,-1.509717,-110.5341
16.68019,1.074705,-1.531824,-107.4705
16.70019,1.043638,-1.553318,-104.3638
16.72019,1.012155,-1.57419,-101.2155
16.74019,0.980266,-1.594433,-98.0266
16.76019,0.9479853,-1.614039,-94.79853
16.78019,0.9153253,-1.632998,-91.53253
16.80019,0.8822992,-1.651305,-88.22993
16.82019,0.8489202,-1.668951,-84.89202
16.84019,0.8152016,-1.685929,-81.52016
16.8602,0.781157,-1.702233,-78.11569
16.8802,0.7467998,-1.717856,-74.67999
16.9002,0.712144,-1.732792,-71.21439
16.9202,0.6772032,-1.747035,-67.72032
16.9402,0.6419917,-1.760579,-64.19917
16.9602,0.6065233,-1.773419,-60.65233
16.9802,0.5708123,-1.78555,-57.08123
17.0002,0.5348729,-1.796966,-53.48729
17.0202,0.4987197,-1.807663,-49.87197
17.0402,0.4623669,-1.817638,-46.23669
17.0602,0.4258292,-1.826885,-42.58292
17.0802,0.3891212,-1.835402,-38.91212
17.1002,0.3522575,-1.843184,-35.22575
17.1202,0.3152529,-1.850229,-31.52529
17.1402,0.2781222,-1.856534,-27.81223
17.1602,0.2408803,-1.862097,-24.08803
17.1802,0.203542,-1.866914,-20.3542
17.2002,0.1661223,-1.870985,-16.61223
17.2202,0.1286362,-1.874308,-12.86362
17.2402,0.09109856,-1.87688,-9.109857
17.2602,0.05352452,-1.878702,-5.352452
17.2802,0.01592906,-1.879773,-1.592906
17.30021,-0.02167277,-1.880091,2.167277
17.32021,-0.05926593,-1.879658,5.926593
17.34021,-0.09683538,-1.878473,9.683538
17.36021,-0.1343661,-1.876536,13.43661
17.38021,-0.1718431,-1.873849,17.18431
17.40021,-0.2092513,-1.870412,20.92513
17.42021,-0.2465758,-1.866227,24.65758
17.44021,-0.2838017,-1.861295,28.38017
17.46021,-0.3209141,-1.855619,32.09141
17.48021,-0.3578981,-1.849201,35.78981
17.50021,-0.394739,-1.842043,39.4739
17.52021,-0.431422,-1.834148,43.1422
17.54021,-0.4679324,-1.82552,46.79324
17.56021,-0.5042556,-1.816161,50.42556
17.58021,-0.5403771,-1.806076,54.03771
17.60021,-0.5762825,-1.795269,57.62825
17.62021,-0.6119574,-1.783743,61.19574
17.64021,-0.6473874,-1.771504,64.73875
17.66021,-0.6825585,-1.758556,68.25585
17.68021,-0.7174566,-1.744905,71.74567
17.70021,-0.7520677,-1.730556,75.20677
17.72021,-0.786378,-1.715514,78.6378
17.74022,-0.8203738,-1.699787,82.03738
17.76022,-0.8540413,-1.683379,85.40414
17.78022,-0.8873673,-1.666299,88.73673
17.80022,-0.9203383,-1.648551,92.03384
17.82022,-0.9529412,-1.630144,95.29412
17.84022,-0.985163,-1.611086,98.5163
17.86022,-1.016991,-1.591382,101.6991
17.88022,-1.048411,-1.571043,104.8411
17.90022,-1.079413,-1.550074,107.9413
17.92022,-1.109983,-1.528486,110.9983
17.94022,-1.140108,-1.506287,114.0108
17.96022,-1.169778,-1.483484,116.9778
17.98022,-1.19898,-1.460089,119.898
18.00022,-1.227702,-1.436109,122.7702
18.02022,-1.255933,-1.411555,125.5933
18.04022,-1.283662,-1.386437,128.3662
18.06022,-1.310877,-1.360763,131.0877
18.08022,-1.337568,-1.334546,133.7568
18.10022,-1.363724,-1.307794,136.3724
18.12022,-1.389334,-1.28052,138.9334
18.14022,-1.414389,-1.252733,141.4389
18.16022,-1.438878,-1.224445,143.8878
18.18023,-1.462791,-1.195668,146.2791
18.20023,-1.486119,-1.166412,148.6119
18.22023,-1.508853,-1.13669,150.8853
18.24023,-1.530983,-1.106512,153.0983
18.26023,-1.552501,-1.075893,155.2501
18.28023,-1.573398,-1.044843,157.3398
18.30023,-1.593666,-1.013375,159.3666
18.32023,-1.613296,-0.9815015,161.3296
18.34023,-1.63228,-0.9492356,163.228
18.36023,-1.650612,-0.91659,165.0612
18.38023,-1.668284,-0.8835778,166.8284
18.40023,-1.685288,-0.8502122,168.5288
18.42023,-1.701618,-0.8165064,170.1618
18.44023,-1.717268,-0.782474,171.7268
18.46023,-1.73223,-0.7481287,173.223
18.48023,-1.7465,-0.7134841,174.65
18.50023,-1.760071,-0.6785541,176.0071
18.52023,-1.772938,-0.6433527,177.2938
18.54023,-1.785096,-0.6078939,178.5096
18.56023,-1.79654,-0.572192,179.654
18.58023,-1.807265,-0.5362612,180.7265
18.60023,-1.817267,-0.5001159,181.7267
18.62024,-1.826543,-0.4637706,182.6543
18.64024,-1.835088,-0.4272397,183.5088
18.66024,-1.842898,-0.390538,184.2898
18.68024,-1.849972,-0.35368,184.9972
18.70024,-1.856306,-0.3166806,185.6306
18.72024,-1.861897,-0.2795545,186.1897
18.74024,-1.866743,-0.2423166,186.6743
18.76024,-1.870843,-0.2049817,187.0843
18.78024,-1.874194,-0.1675649,187.4194
18.80024,-1.876796,-0.130081,187.6796
18.82024,-1.878646,-0.09254508,187.8646
18.84024,-1.879746,-0.05497216,187.9746
18.86024,-1.880093,-0.01737726,188.0093
18.88024,-1.879689,0.0202246,187.9689
18.90024,-1.878533,0.05781837,187.8533
18.92024,-1.876625,0.09538902,187.6625
18.94024,-1.873966,0.1329215,187.3966
18.96024,-1.870558,0.1704008,187.0558
18.98024,-1.866402,0.207812,186.6402
19.00024,-1.861499,0.24514,186.1499
19.02024,-1.855852,0.28237,185.5852
19.04025,-1.849462,0.3194871,184.9462
19.06025,-1.842332,0.3564763,184.2332
19.08025,-1.834466,0.3933229,183.4466
19.10025,-1.825866,0.4300123,182.5866
19.12025,-1.816535,0.4665296,181.6535
19.14025,-1.806478,0.5028603,180.6478
19.16025,-1.795698,0.5389898,179.5698
19.18025,-1.7842,0.5749038,178.42
19.20025,-1.771988,0.6105878,177.1988
19.22025,-1.759068,0.6460276,175.9068
19.24025,-1.745443,0.6812089,174.5443
19.26025,-1.731121,0.7161178,173.1121
19.28025,-1.716106,0.7507402,171.6106
19.30025,-1.700405,0.7850624,170.0405
19.32025,-1.684024,0.8190705,168.4024
19.34025,-1.666969,0.8527509,166.6969
19.36025,-1.649247,0.8860903,164.9247
19.38025,-1.630865,0.9190752,163.0865
19.40025,-1.611831,0.9516925,161.1831
19.42025,-1.592153,0.9839292,159.2153
19.44025,-1.571837,1.015772,157.1837
19.46025,-1.550893,1.047209,155.0893
19.48026,-1.529329,1.078227,152.9329
19.50026,-1.507152,1.108814,150.7152
19.52026,-1.484373,1.138957,148.4373
19.54026,-1.461,1.168644,146.1
19.56026,-1.437043,1.197864,143.7043
19.58026,-1.412511,1.226605,141.2511
19.60026,-1.387414,1.254855,138.7414
19.62026,-1.361762,1.282603,136.1762
19.64026,-1.335565,1.309839,133.5565
19.66026,-1.308834,1.33655,130.8834
19.68026,-1.28158,1.362727,128.158
19.70026,-1.253812,1.388358,125.3812
19.72026,-1.225544,1.413435,122.5544
19.74026,-1.196785,1.437945,119.6785
19.76026,-1.167547,1.461881,116.7547
19.78026,-1.137843,1.485232,113.7843
19.80026,-1.107683,1.507989,110.7683
19.82026,-1.07708,1.530142,107.708
19.84026,-1.046046,1.551684,104.6046
19.86026,-1.014594,1.572605,101.4594
19.88026,-0.9827363,1.592897,98.27363
19.90026,-0.9504852,1.612552,95.04852
19.92027,-0.917854,1.631561,91.7854
19.94027,-0.8848556,1.649918,88.48557
19.96027,-0.8515033,1.667615,85.15033
19.98027,-0.8178104,1.684646,81.78104
20.00027,-0.7837904,1.701002,78.37904
